EvtDate,Stkcd,company,llm,Trddt,ret,mv,idx_ret,date_diff,beta,exc_ret,adj_ret,Exc_ret,Adj_ret,cum_exc_ret,cum_adj_ret
2023-07-03,300229,拓尔思,拓天,2023-06-14,0.019162,24937066.31,0.00394825896865304,-19,1.5571425795483824,0.015213741031346959,0.013013997844826567,1.0152137410313469,1.0130139978448265,0.03709071472147274,0.02096013369002625
2023-07-03,300229,拓尔思,拓天,2023-06-15,-0.028681,24221854.08,-0.009463319690787054,-18,1.5571425795483824,-0.019217680309212948,-0.013945261965596848,0.980782319690787,0.9860547380344031,0.01716023691430224,0.006722577169288035
2023-07-03,300229,拓尔思,拓天,2023-06-16,0.028543,24913225.9,0.028029750927533258,-17,1.5571425795483824,0.0005132490724667413,-0.0151033186633978,1.0005132490724666,0.9848966813366022,0.01768229346244854,-0.008482274719336713
2023-07-03,300229,拓尔思,拓天,2023-06-19,0.044338,26017831.45,0.021377161755539314,-14,1.5571425795483824,0.02296083824446069,0.011050711200556486,1.0229608382444606,1.0110507112005565,0.04104913198689153,0.0024747013129726714
2023-07-03,300229,拓尔思,拓天,2023-06-20,0.010385,26288022.74,0.01858635968016644,-13,1.5571425795483824,-0.00820135968016644,-0.01855661205678842,0.9917986403198336,0.9814433879432116,0.03251111361074188,-0.016127832816036913
2023-07-03,300229,拓尔思,拓天,2023-06-21,-0.032648,25429768.06,-0.046351580612378644,-12,1.5571425795483824,0.01370358061237864,0.03952801980090407,1.0137035806123786,1.039528019800904,0.04666021288928346,0.022762685689969198
2023-07-03,300229,拓尔思,拓天,2023-06-26,-0.030938,24643034.61,-0.052515377298340625,-7,1.5571425795483824,0.021577377298340625,0.05083593007229468,1.0215773772983405,1.0508359300722947,0.06924439520595693,0.0747557780602568
2023-07-03,300229,拓尔思,拓天,2023-06-27,-0.048694,23443067.43,0.007808064546642702,-6,1.5571425795483824,-0.0565020645466427,-0.060852269769439485,0.9434979354533573,0.9391477302305605,0.008829879371893945,0.00935444951747022
2023-07-03,300229,拓尔思,拓天,2023-06-28,-0.101017,21074920.28,-0.02312688514387963,-5,1.5571425795483824,-0.07789011485612037,-0.0650051424101401,0.9221098851438796,0.9349948575898599,-0.069747995802669,-0.056258780215721504
2023-07-03,300229,拓尔思,拓天,2023-06-29,0.000754,21090813.89,0.008635985802046721,-4,1.5571425795483824,-0.007881985802046722,-0.012693461208742238,0.9921180141979533,0.9873065387912577,-0.07708022889207788,-0.0682381227801443
2023-07-03,300229,拓尔思,拓天,2023-06-30,-0.021477,20637846.14,-0.001112361256207339,-3,1.5571425795483824,-0.02036463874379266,-0.019744894924119624,0.9796353612562073,0.9802551050758804,-0.09587515662019452,-0.0866356631401507
2023-07-03,300229,拓尔思,拓天,2023-07-03,0.003851,20717314.17,-0.011384021584431475,0,1.5571425795483824,0.015235021584431475,0.02157754473561609,1.0152350215844315,1.0215775447356161,-0.08210079511628243,-0.06692750330164099
2023-07-03,300229,拓尔思,拓天,2023-07-04,-0.009206,20526590.91,0.010723049758504986,1,1.5571425795483824,-0.019929049758504985,-0.025903317361584112,0.980070950241495,0.9740966826384159,-0.10039365404370215,-0.09109717630498426
2023-07-03,300229,拓尔思,拓天,2023-07-05,-0.036005,19787538.27,-0.01304116343832295,2,1.5571425795483824,-0.022963836561677053,-0.015698049123337752,0.9770361634383229,0.9843019508766623,-0.12105206714209016,-0.10536517747968899
2023-07-03,300229,拓尔思,拓天,2023-07-06,0.024096,20264346.43,-0.00035554165168221537,3,1.5571425795483824,0.024451541651682215,0.024649629044637338,1.0244515416516822,1.0246496290446374,-0.09956043515215507,-0.0833127609741483
2023-07-03,300229,拓尔思,拓天,2023-07-07,-0.036078,19533240.59,-0.014417587974871545,4,1.5571425795483824,-0.021660412025128452,-0.01362775986994278,0.9783395879748715,0.9863722401300572,-0.11906432713048676,-0.09580515454343352
2023-07-03,300229,拓尔思,拓天,2023-07-10,-0.021562,19112060.06,-0.002266105567896915,7,1.5571425795483824,-0.019295894432103087,-0.01803335053047605,0.9807041055678969,0.9819666494695239,-0.1360627688756506,-0.11211081713940141
2023-07-03,300229,拓尔思,拓天,2023-07-11,-0.012058,18881602.79,0.004075481787302373,8,1.5571425795483824,-0.016133481787302374,-0.01840410622318247,0.9838665182126977,0.9815958937768176,-0.15000108445936766,-0.1284516239751825
2023-07-03,300229,拓尔思,拓天,2023-07-12,-0.04335,18063082.13,-0.023186920106939943,9,1.5571425795483824,-0.020163079893060057,-0.007244659412897279,0.9798369201069399,0.9927553405871027,-0.1671396805024279,-0.13476569512134606
2023-07-03,300229,拓尔思,拓天,2023-07-13,0.026837,18547837.08,0.015009608660516488,10,1.5571425795483824,0.011827391339483512,0.0034648992523516157,1.0118273913394835,1.0034648992523516,-0.15728911557260283,-0.13176774542526304
2023-07-03,300229,拓尔思,拓天,2023-07-14,0.068123,19811378.68,0.019507775598230147,11,1.5571425795483824,0.04861522440176985,0.037746611983720924,1.04861522440177,1.0377466119837209,-0.11632053682035093,-0.09899491940007932
2023-07-03,300229,拓尔思,拓天,2023-07-17,-0.008825,19636549.03,-0.0012294829175525407,14,1.5571425795483824,-0.007595517082447459,-0.006910519798251565,0.9924044829175526,0.9930894802017485,-0.1230325392783399,-0.10522133284789026
2023-07-03,300229,拓尔思,拓天,2023-07-18,-0.03278,18992858.02,-0.016039389361295554,15,1.5571425795483824,-0.016740610638704443,-0.0078043838755713565,0.9832593893612955,0.9921956161244286,-0.13771351008109456,-0.11220452905001743
2023-07-03,300229,拓尔思,拓天,2023-07-19,-0.002092,18953124.01,0.004977430302880581,16,1.5571425795483824,-0.0070694303028805815,-0.009842568661349756,0.9929305696971195,0.9901574313386502,-0.14380938432269175,-0.12094271693007808
2023-07-03,300229,拓尔思,拓天,2023-07-20,-0.039832,18198177.77,-0.025989406862055392,17,1.5571425795483824,-0.013842593137944607,0.0006372120421133665,0.9861574068620554,1.0006372120421134,-0.155661282664039,-0.1203825710435984
2023-07-03,300229,拓尔思,拓天,2023-07-21,-0.004803,18110762.94,-0.00813264267887938,18,1.5571425795483824,0.0033296426788793805,0.007860684199535506,1.0033296426788794,1.0078606841995355,-0.15284993643536693,-0.11346817621816485
2023-04-17,300418,昆仑万维,天工,2023-03-28,-0.09894,41065828.6,-0.01270670707761407,-20,1.0027005913958618,-0.08623329292238593,-0.08619897729858239,0.9137667070776141,0.9138010227014176,-0.0862332929223859,-0.08619897729858239
2023-04-17,300418,昆仑万维,天工,2023-03-29,-0.017516,40346505.59,0.004793549530379353,-19,1.0027005913958618,-0.022309549530379353,-0.022322494948996734,0.9776904504696207,0.9776775050510033,-0.10661901653314554,-0.10659729601222279
2023-04-17,300418,昆仑万维,天工,2023-03-30,0.037786,41871040.93,-0.012980131503398438,-18,1.0027005913958618,0.05076613150339844,0.050801185534853674,1.0507661315033985,1.0508011855348536,-0.06126552004383179,-0.06121137948959987
2023-04-17,300418,昆仑万维,天工,2023-03-31,0.199487,50223776.78,0.03942306105001449,-17,1.0027005913958618,0.1600639389499855,0.1599574733705153,1.1600639389499854,1.1599574733705154,0.08899201844611859,0.08895487627623533
2023-04-17,300418,昆仑万维,天工,2023-04-03,0.082728,54378672.38,0.04902043857470788,-14,1.0027005913958618,0.03370756142529212,0.03357517725065589,1.0337075614252922,1.0335751772506558,0.1256992837995441,0.12551672926517599
2023-04-17,300418,昆仑万维,天工,2023-04-04,-0.022705,53144013.48,0.007209474019593499,-13,1.0027005913958618,-0.029914474019593497,-0.029933943863099503,0.9700855259804065,0.9700660561369004,0.0920245818204477,0.0918255746743728
2023-04-17,300418,昆仑万维,天工,2023-04-06,0.068283,56772837.03,-0.015037605661927843,-11,1.0027005913958618,0.08332060566192784,0.0833612160903928,1.0833206056619278,1.0833612160903927,0.18301273137544083,0.18284148233782038
2023-04-17,300418,昆仑万维,天工,2023-04-07,-0.045008,54217629.92,0.021434337101201465,-10,1.0027005913958618,-0.06644233710120147,-0.06650022248755297,0.9335576628987985,0.9334997775124471,0.10441060068238062,0.10418226059484836
2023-04-17,300418,昆仑万维,天工,2023-04-10,-0.172475,45020670.4,-0.05347276993541028,-7,1.0027005913958618,-0.11900223006458971,-0.11885782196218925,0.8809977699354103,0.8811421780378108,-0.027016723705795664,-0.027058437948741743
2023-04-17,300418,昆仑万维,天工,2023-04-11,0.094999,49297580.22,0.012082670276990866,-6,1.0027005913958618,0.08291632972300914,0.08288369936762005,1.082916329723009,1.08288369936762,0.05365947844638819,0.053582557982577494
2023-04-17,300418,昆仑万维,天工,2023-04-12,0.120629,55244316.29,0.03181529292374997,-5,1.0027005913958618,0.08881370707625003,0.08872778696992334,1.08881370707625,1.0887277869699235,0.14723888272324004,0.14706460674248256
2023-04-17,300418,昆仑万维,天工,2023-04-13,-0.023011,54458096.8,-0.020322934209464905,-4,1.0027005913958618,-0.0026880657905350956,-0.0026331818492703503,0.997311934209465,0.9973668181507297,0.14415502912902012,0.14404417704006778
2023-04-17,300418,昆仑万维,天工,2023-04-14,-0.026946,52990663.05,-0.0004717617688746349,-3,1.0027005913958618,-0.026474238231125366,-0.02647296419535145,0.9735257617688746,0.9735270358046485,0.11386439631451828,0.11375793650338561
2023-04-17,300418,昆仑万维,天工,2023-04-17,-0.027487,51534099.18,-0.019159955830677367,0,1.0027005913958618,-0.008327044169322634,-0.008275300957461217,0.9916729558306774,0.9917246990425388,0.10458919828777136,0.10454125438505923
2023-04-17,300418,昆仑万维,天工,2023-04-18,0.076777,55490735.36,0.0033667379017217,1,1.0027005913958618,0.07341026209827829,0.07340116991486878,1.0734102620982784,1.073401169914869,0.18567738084500385,0.18561587467615936
2023-04-17,300418,昆仑万维,天工,2023-04-19,-0.036239,53479807.63,0.0025973161875132086,2,1.0027005913958618,-0.03883631618751321,-0.03884333047726154,0.9611636838124868,0.9611566695227385,0.13963003918612493,0.1395626054370258
2023-04-17,300418,昆仑万维,天工,2023-04-20,0.044309,55849441.38,0.03228287007282552,3,1.0027005913958618,0.01202612992717448,0.011938947086022084,1.0120261299271744,1.011938947086022,0.15333537810628828,0.15316778308454793
2023-04-17,300418,昆仑万维,天工,2023-04-21,-0.047489,53197190.76,-0.056092965434938594,4,1.0027005913958618,0.00860396543493859,0.008755449614760553,1.0086039654349386,1.0087554496147606,0.16325863583440658,0.1632642855067099
